customer_id,first_name,last_name,email,phone_number,registration_date,customer_segment,preferred_channel,age_group,income_level,avg_order_value,promo_sensitivity,email_opt_in,sms_opt_in,push_opt_in,last_purchase_date,total_lifetime_orders,preferred_category
36,Charles,Holland,charles.holland@gmail.com,+1-789-825-3482,2025-04-25 11:09:47.968328,High_Value,Push,18-25,Premium,270.13,0.28,True,False,True,2025-07-04 13:18:35.933449,9,Home
37,Kelly,Garcia,kellygarcia@yahoo.com,+1-620-880-7624,2025-02-02 16:22:58.320909,Medium_Value,Direct,36-45,Premium,189.18,0.51,True,True,False,2025-07-04 13:16:28.966163,43,Electronics
38,Mary,Miller,mary307@hotmail.com,+1-912-666-8118,2024-04-12 06:55:50.811679,New_Customer,SMS,36-45,Low,81.32,0.77,False,False,True,2025-07-04 13:16:11.334776,0,Clothing
39,Amanda,Nguyen,amandanguyen@yahoo.com,+1-462-499-5462,2024-08-14 10:48:20.605574,High_Value,Push,18-25,Low,371.07,0.26,False,True,True,2025-07-04 13:14:57.433584,50,Beauty
40,Elizabeth,Thompson,elizabeth974@hotmail.com,+1-924-911-1158,2024-10-28 01:00:30.190417,High_Value,Direct,36-45,,455.07,0.21,True,True,True,2025-07-04 13:14:22.585619,25,Electronics
41,James,Johnson,james795@yahoo.com,+1-636-528-6517,2024-12-31 10:50:54.049806,Medium_Value,Push,55+,Premium,85.81,0.7,False,True,False,,12,Home
42,Paul,Parsons,paul65@yahoo.com,+1-372-290-6966,2025-06-16 14:22:48.502920,High_Value,Social,26-35,Medium,238.32,0.24,False,False,False,2025-07-04 13:14:15.038278,9,Electronics
43,Ian,Arellano,ian497@hotmail.com,+1-262-768-8334,2023-12-30 08:38:02.014257,Medium_Value,Direct,26-35,Medium,193.97,0.48,True,True,True,2025-07-04 13:18:04.871839,13,Beauty
44,Richard,Wiley,richard.wiley@hotmail.com,+1-890-222-6405,2024-06-17 14:52:28.064665,Low_Value,Direct,36-45,High,28.95,0.83,False,False,True,,24,Home
45,Douglas,Collins,douglas.collins@hotmail.com,+1-257-672-7927,2024-11-08 07:40:34.860177,Medium_Value,Push,18-25,High,175.11,0.49,False,False,False,2025-07-04 13:17:16.629409,42,Books
46,Debra,Fields,debrafields@yahoo.com,+1-935-849-5870,2024-08-27 23:09:30.335013,Low_Value,Social,26-35,High,41.13,0.86,False,False,True,,37,Books
47,Jason,Butler,jason404@yahoo.com,+1-667-533-9741,2023-10-30 11:01:15.831201,New_Customer,Push,18-25,Medium,104.0,0.78,False,False,True,2025-07-04 13:16:51.789978,29,Beauty
48,Roger,Mendoza,roger88@hotmail.com,+1-997-226-7351,2024-01-01 12:25:09.508451,Low_Value,Email,18-25,Premium,38.26,0.63,True,True,False,2025-07-04 13:14:16.120039,28,Beauty
49,Michelle,Castillo,michelle986@yahoo.com,+1-389-989-4716,2024-01-18 10:19:15.077320,New_Customer,Social,26-35,Medium,40.7,0.57,True,False,True,2025-07-04 13:18:08.138092,30,Sports
50,Tracy,Davis,tracy242@hotmail.com,+1-944-876-6657,2025-05-07 03:21:43.885631,Medium_Value,SMS,46-55,Medium,190.45,0.49,True,False,False,2025-07-04 13:17:48.755748,7,Electronics
51,Elizabeth,Watson,elizabethwatson@gmail.com,+1-457-922-4076,2025-03-04 20:10:49.818927,Medium_Value,Direct,55+,Medium,146.4,0.68,False,True,True,,32,Clothing
52,Hannah,Wilson,hannah.wilson@gmail.com,+1-863-857-1915,2024-03-06 07:23:25.836937,Low_Value,SMS,26-35,Medium,65.55,0.85,True,False,True,2025-07-04 13:18:04.095416,15,Sports
53,Leslie,Martin,leslie.martin@outlook.com,+1-936-305-1026,2025-05-27 19:25:16.560117,New_Customer,Social,46-55,Medium,91.45,0.78,False,True,False,2025-07-04 13:18:01.547694,16,Sports
54,Robert,Buck,robertbuck@gmail.com,+1-436-492-2586,2023-12-31 06:47:53.130403,Low_Value,Push,46-55,High,37.17,0.65,True,False,False,2025-07-04 13:18:18.055580,0,Sports
55,Olivia,Watson,oliviawatson@outlook.com,+1-976-572-7055,2024-03-19 11:19:10.611420,New_Customer,SMS,36-45,High,53.74,0.69,True,True,False,,33,Electronics
56,Shane,Black,shane.black@hotmail.com,+1-723-842-6549,2024-11-15 16:38:19.851497,Medium_Value,Direct,46-55,,194.82,0.63,True,False,True,2025-07-04 13:17:08.332054,3,Sports
57,Amber,Carney,amber.carney@outlook.com,+1-861-404-7143,2024-06-13 01:21:22.956317,Medium_Value,Email,46-55,High,75.58,0.68,False,False,False,,41,Electronics
58,Cody,Harris,cody.harris@gmail.com,+1-366-512-5935,2025-02-22 07:23:59.318141,New_Customer,Social,55+,High,44.49,0.76,False,False,False,2025-07-04 13:18:24.309351,22,Electronics
59,Amber,Wilcox,amber380@gmail.com,+1-803-263-4664,2023-10-18 02:35:32.255155,New_Customer,Direct,26-35,Low,148.29,0.5,False,True,True,,27,Clothing
60,Mary,Owens,mary463@outlook.com,+1-265-903-4144,2024-01-14 22:22:33.980264,Medium_Value,Email,46-55,High,116.53,0.47,False,True,True,2025-07-04 13:16:02.756341,42,Books
61,Christopher,Stanley,christopher684@hotmail.com,+1-905-580-3438,2024-10-05 23:35:14.588732,Medium_Value,Email,36-45,Premium,89.36,0.62,False,False,True,2025-07-04 13:14:40.127709,0,Beauty
62,Daniel,Kent,daniel412@outlook.com,+1-874-410-4930,2024-08-21 11:38:17.311524,High_Value,Direct,46-55,Medium,459.01,0.33,False,True,False,2025-07-04 13:12:45.160514,38,Clothing
63,Christine,Bryant,christine635@hotmail.com,+1-303-439-1590,2025-04-15 05:25:27.675122,Medium_Value,Push,26-35,,115.29,0.69,True,True,False,2025-07-04 13:14:06.963825,11,Beauty
64,Lawrence,Hernandez,lawrencehernandez@outlook.com,+1-399-969-5173,2024-05-20 04:06:08.985845,High_Value,Email,36-45,Premium,261.92,0.2,True,False,False,2025-07-04 13:18:34.312764,8,Electronics
65,Jessica,Stephenson,jessicastephenson@hotmail.com,+1-734-835-2528,2023-10-08 08:51:55.850589,Medium_Value,Push,18-25,High,190.48,0.53,True,True,True,2025-07-04 13:13:20.213231,13,Clothing
66,James,Rodriguez,james598@outlook.com,+1-531-644-5633,2025-04-05 14:53:59.299614,High_Value,Direct,46-55,,466.47,0.32,False,False,False,2025-07-04 13:16:42.123650,12,Sports
67,Olivia,Davis,oliviadavis@gmail.com,+1-981-275-8159,2023-08-06 21:42:35.729356,New_Customer,Direct,,Premium,78.97,0.58,True,False,False,2025-07-04 13:14:08.040957,22,Beauty
68,Karen,Cordova,karen.cordova@hotmail.com,+1-855-684-9279,2024-12-10 11:24:01.837223,High_Value,Push,46-55,High,189.42,0.31,True,False,False,,27,Electronics
69,Joseph,Chapman,joseph620@hotmail.com,+1-531-386-3510,2024-01-18 07:26:03.229163,High_Value,Direct,36-45,High,370.97,0.31,True,False,True,2025-07-04 13:17:41.155432,41,Electronics
70,Bradley,Wright,bradley.wright@outlook.com,+1-727-886-6437,2023-10-28 12:19:25.179516,High_Value,Email,,Low,453.27,0.2,True,False,True,,7,Sports
71,Timothy,Kelly,timothy334@outlook.com,+1-569-212-4681,2025-06-07 01:34:50.166405,Low_Value,SMS,55+,,40.08,0.64,True,False,True,2025-07-04 13:13:06.845967,33,Home
72,Daniel,Strickland,daniel104@gmail.com,+1-628-430-4117,2025-04-20 23:02:01.325947,High_Value,Push,55+,Medium,421.85,0.36,True,False,True,,10,Books
73,Jamie,Ellis,jamieellis@hotmail.com,+1-848-405-9208,2024-08-31 17:08:47.456419,High_Value,Email,46-55,Premium,246.17,0.37,False,True,True,2025-07-04 13:17:47.396769,3,Books
74,Brandy,Davidson,brandy379@hotmail.com,+1-649-862-5571,2025-03-27 18:07:19.172069,Medium_Value,Email,36-45,Premium,92.28,0.55,True,False,False,2025-07-04 13:16:50.413867,20,Sports
75,Ronald,Mccullough,ronaldmccullough@hotmail.com,+1-829-349-1376,2024-12-17 14:01:59.709024,New_Customer,SMS,26-35,Low,71.17,0.59,True,True,False,,25,Home
76,Kristina,Walker,kristinawalker@outlook.com,+1-731-289-7549,2024-07-03 08:34:46.880234,Low_Value,Social,36-45,High,28.11,0.67,True,True,True,2025-07-04 13:15:23.141557,26,Books
77,Karina,Hayes,karina.hayes@outlook.com,+1-485-957-9781,2025-03-11 05:57:04.705732,High_Value,Email,18-25,,357.56,0.3,True,False,True,2025-07-04 13:17:20.683135,5,Clothing
78,Brian,Aguilar,brian.aguilar@outlook.com,+1-674-522-7554,2025-02-21 10:05:12.688476,High_Value,SMS,36-45,Premium,388.84,0.28,False,False,True,2025-07-04 13:16:01.600552,24,Electronics
79,Theresa,Curtis,theresacurtis@hotmail.com,+1-460-620-1123,2024-02-10 19:16:36.097744,Low_Value,Direct,46-55,Medium,45.53,0.87,False,True,True,2025-07-04 13:16:43.163904,36,Sports
80,Allen,Williams,allen.williams@hotmail.com,+1-659-757-2033,2024-10-14 13:28:46.169635,High_Value,Direct,55+,High,446.58,0.23,True,True,False,2025-07-04 13:15:59.472857,21,Beauty
81,Matthew,Murray,matthew.murray@hotmail.com,+1-846-885-5263,2025-01-26 03:03:21.313517,Medium_Value,Push,46-55,Medium,131.72,0.68,True,True,False,,3,Sports
82,John,Ayala,john502@hotmail.com,+1-622-576-6281,2023-08-01 01:01:03.377426,High_Value,Social,36-45,Premium,240.62,0.3,False,True,True,,32,Electronics
83,Edward,Boyd,edward734@hotmail.com,+1-526-449-1374,2023-11-27 05:12:34.861205,New_Customer,Direct,18-25,Medium,30.82,0.57,True,True,True,2025-07-04 13:14:35.249699,26,Books
84,Ryan,Ross,ryan770@gmail.com,+1-441-724-8634,2024-01-12 13:08:46.838300,High_Value,Push,18-25,Premium,300.78,0.21,False,True,True,2025-07-04 13:16:28.037065,46,Electronics
85,Lauren,Terry,laurenterry@gmail.com,+1-709-945-5932,2024-08-14 05:35:54.594441,New_Customer,SMS,55+,High,75.04,0.61,False,False,False,2025-07-04 13:18:21.440230,15,Books
86,Scott,Thomas,scott.thomas@yahoo.com,+1-278-345-3618,2024-06-30 14:47:08.451154,Low_Value,Push,18-25,Low,66.62,0.87,False,False,True,2025-07-04 13:17:54.754187,24,Electronics
87,Madison,Cox,madisoncox@gmail.com,+1-722-625-4027,2023-10-14 13:37:35.441293,High_Value,Direct,46-55,Medium,283.36,0.28,True,False,False,2025-07-04 13:14:30.807419,20,Home
88,Jerome,Ellis,jeromeellis@hotmail.com,+1-792-234-7854,2024-06-05 04:13:39.902302,High_Value,Email,26-35,Low,338.19,0.3,False,True,True,2025-07-04 13:15:43.882267,14,Beauty
89,Miguel,Bell,miguelbell@yahoo.com,+1-399-710-5235,2024-11-04 08:33:55.479952,Low_Value,Direct,26-35,Low,57.68,0.62,True,False,True,2025-07-04 13:14:48.949139,32,Clothing
90,Daniel,Sanchez,daniel.sanchez@yahoo.com,+1-362-777-4136,2023-12-20 18:19:21.122303,Medium_Value,Push,36-45,Premium,187.42,0.45,False,False,True,2025-07-04 13:16:27.646228,41,Beauty
91,Amy,Fitzgerald,amy.fitzgerald@outlook.com,+1-297-626-5946,2023-11-25 02:18:07.241832,New_Customer,Email,55+,Medium,52.04,0.72,False,False,True,,4,Home
92,Richard,Howard,richard.howard@gmail.com,+1-427-696-3417,2024-02-02 07:56:12.446079,New_Customer,SMS,36-45,Medium,87.83,0.72,True,True,True,,25,Clothing
93,Michael,Torres,michaeltorres@yahoo.com,+1-721-658-2299,2025-02-23 09:37:04.417125,New_Customer,SMS,18-25,Premium,133.47,0.72,True,False,True,2025-07-04 13:15:08.605382,41,Books
94,Dorothy,Graham,dorothy.graham@hotmail.com,+1-721-588-7108,2025-01-09 07:37:33.957840,New_Customer,Social,46-55,Low,147.83,0.57,True,True,True,2025-07-04 13:17:58.811774,43,Beauty
95,Kimberly,Elliott,kimberlyelliott@gmail.com,+1-825-985-8290,2024-06-11 04:44:09.396692,Low_Value,Push,26-35,Medium,78.7,0.85,True,True,True,2025-07-04 13:14:35.912555,25,Home
96,Kelly,Li,kellyli@gmail.com,+1-552-340-5295,2024-06-09 05:10:54.220882,Medium_Value,Social,46-55,Premium,186.63,0.46,True,True,False,2025-07-04 13:13:09.825887,5,Sports
97,Pamela,Smith,pamelasmith@gmail.com,+1-987-696-5142,2024-06-03 17:04:03.921239,Medium_Value,Direct,18-25,Low,190.6,0.61,False,True,False,,30,Books
98,Lori,Davis,loridavis@hotmail.com,+1-411-777-2603,2025-05-19 01:10:52.867827,New_Customer,SMS,55+,High,104.89,0.71,True,False,False,2025-07-04 13:17:25.563682,39,Clothing
99,Samuel,Meyer,samuel.meyer@outlook.com,+1-863-307-1876,2025-04-07 11:54:42.311972,New_Customer,Social,18-25,Medium,141.91,0.52,False,False,True,,30,Beauty
100,Elaine,Bridges,elaine.bridges@hotmail.com,+1-798-542-8476,2024-05-15 05:35:32.043415,Low_Value,Direct,26-35,Low,63.99,0.64,False,False,False,2025-07-04 13:14:45.808273,1,Sports
101,Jonathan,Nelson,jonathannelson@outlook.com,+1-751-956-2532,2025-05-04 10:28:59.038725,Medium_Value,SMS,26-35,Medium,135.72,0.69,False,False,False,2025-07-04 13:16:51.293073,18,Sports
102,Alicia,Gallagher,aliciagallagher@gmail.com,+1-794-941-5559,2023-11-26 04:37:37.003222,New_Customer,Social,36-45,Premium,68.67,0.71,False,True,False,2025-07-04 13:14:36.286220,17,Home
103,Jacob,Rivera,jacobrivera@yahoo.com,+1-502-653-6522,2023-11-25 09:15:41.053592,Medium_Value,Direct,18-25,High,175.17,0.64,True,True,False,2025-07-04 13:13:58.982146,19,Clothing
104,Anna,Duffy,annaduffyhotmail.com,+1-818-502-3566,2024-05-13 03:35:19.731287,Medium_Value,Push,18-25,High,131.18,0.68,True,True,True,2025-07-04 13:16:24.943513,40,Home
105,Penny,Johnson,penny.johnson@outlook.com,+1-483-567-8985,2025-01-02 21:30:33.139119,New_Customer,Direct,18-25,Medium,99.43,0.71,False,False,False,2025-07-04 13:14:52.204711,4,Electronics
106,Anthony,Rose,anthonyroseyahoo.com,+1-262-984-9360,2023-09-11 07:35:53.681910,Medium_Value,Social,18-25,Premium,153.35,0.51,False,False,True,2025-07-04 13:17:25.043971,41,Books
107,Kimberly,Wolf,kimberlywolf@gmail.com,+1-654-661-8532,2024-06-06 07:20:18.906802,High_Value,Email,36-45,Low,167.7,0.29,True,False,False,,41,Clothing
108,Cynthia,Baker,cynthiabaker@hotmail.com,+1-365-967-2063,2024-08-08 21:52:02.955517,New_Customer,Direct,55+,,47.5,0.76,True,True,False,,45,Sports
109,George,Sanchez,georgesanchez@yahoo.com,+1-927-694-2134,2025-03-29 10:23:39.319315,New_Customer,Direct,26-35,Medium,107.27,0.76,True,False,False,2025-07-04 13:15:39.216267,49,Home
110,Mitchell,Brown,mitchell.brown@yahoo.com,+1-719-971-6943,2023-10-12 06:34:17.813047,New_Customer,SMS,55+,High,85.96,0.69,True,True,True,2025-07-04 13:16:28.840012,6,Sports
111,Tracy,Howell,tracy.howell@outlook.com,+1-712-451-8519,2025-04-15 15:50:04.209883,Medium_Value,Email,55+,Medium,129.1,0.45,False,True,True,,12,Books
112,Erica,Everett,erica381@outlook.com,+1-854-750-9592,2024-08-03 23:27:38.042331,High_Value,Email,18-25,Premium,165.99,0.36,True,False,True,2025-07-04 13:18:10.471531,6,Electronics
113,Kathy,Richard,kathyrichard@gmail.com,+1-261-883-9328,2025-04-22 23:55:55.225307,Low_Value,Push,,High,94.78,0.75,False,True,True,2025-07-04 13:13:17.633178,36,Clothing
114,Joshua,Hall,joshua.hall@yahoo.com,+1-931-409-5482,2024-10-01 13:15:46.875232,Low_Value,Push,46-55,Premium,51.85,0.76,False,True,False,2025-07-04 13:17:59.034313,6,Books
115,Michael,Baker,michael276@gmail.com,+1-341-871-5905,2024-07-04 16:19:32.838375,Low_Value,Direct,18-25,High,34.45,0.73,True,False,False,2025-07-04 13:13:52.500586,15,Sports
116,Cynthia,Porter,cynthia254@hotmail.com,+1-449-941-9522,2023-12-25 04:13:03.324201,Medium_Value,Push,55+,Premium,114.2,0.42,False,True,True,2025-07-04 13:17:24.074888,26,Books
117,Carrie,Taylor,carrie508@yahoo.com,+1-539-243-6781,2024-01-22 17:24:17.343349,Medium_Value,Push,36-45,,114.4,0.64,True,True,False,,49,Electronics
118,Michael,Anderson,michael.anderson@outlook.com,+1-305-922-9480,2024-02-08 14:33:54.489866,New_Customer,SMS,36-45,Premium,128.59,0.5,True,True,False,,37,Home
119,Brian,Johnson,brian682@hotmail.com,+1-671-739-4740,2025-05-02 06:11:41.269717,Low_Value,Social,26-35,Low,53.14,0.63,True,True,True,,4,Home
120,Brian,Bell,brian412@gmail.com,+1-213-739-6799,2024-03-27 03:10:30.942750,Medium_Value,SMS,36-45,Premium,171.16,0.66,False,True,False,2025-07-04 13:15:53.047619,9,Home
121,Joseph,Tate,joseph.tate@yahoo.com,+1-743-658-3460,2024-10-27 02:46:47.815332,New_Customer,Direct,36-45,High,133.69,0.56,False,False,True,2025-07-04 13:16:42.763777,21,Home
122,Jon,Tucker,jon197@yahoo.com,+1-653-961-3543,2023-08-27 16:31:52.896886,New_Customer,Email,55+,Medium,117.23,0.73,True,True,True,,35,Home
123,James,Webster,james.webster@outlook.com,+1-211-465-8584,2024-09-06 17:49:04.059185,High_Value,Direct,36-45,Medium,174.51,0.27,False,True,True,2025-07-04 13:15:42.079048,39,Clothing
124,Johnny,Taylor,johnnytaylor@yahoo.com,+1-788-557-4262,2024-10-30 17:28:01.465684,Low_Value,SMS,46-55,High,74.96,0.69,True,False,True,2025-07-04 13:16:43.211171,27,Electronics
125,Brianna,Obrien,brianna858@hotmail.com,+1-984-639-6131,2024-05-03 19:50:42.740042,New_Customer,Direct,46-55,,99.99,0.74,True,False,False,2025-07-04 13:15:51.253267,8,Books
126,Timothy,Haley,timothy.haley@gmail.com,+1-569-402-5420,2024-03-21 07:21:49.227153,New_Customer,SMS,36-45,Medium,149.19,0.68,True,True,True,2025-07-04 13:16:17.953372,4,Beauty
127,Amber,Garcia,ambergarcia@hotmail.com,+1-563-503-4107,2025-04-07 21:19:05.284360,High_Value,Social,26-35,High,365.3,0.31,False,False,False,,13,Home
128,Jake,White,jake388@yahoo.com,+1-479-579-4205,2023-12-30 02:09:44.000451,New_Customer,SMS,18-25,Medium,31.53,0.78,False,True,False,2025-07-04 13:12:57.229922,4,Home
129,Scott,Mayo,scott561@outlook.com,+1-649-818-3621,2024-07-15 17:52:57.816409,Low_Value,Email,36-45,,35.51,0.65,True,True,True,2025-07-04 13:14:14.986364,14,Clothing
130,Aaron,Turner,aaron569@yahoo.com,+1-774-984-6523,2024-09-13 22:13:05.129956,High_Value,Social,18-25,,206.22,0.22,True,True,True,2025-07-04 13:13:55.977609,37,Home
131,Ronald,Briggs,ronald.briggs@outlook.com,+1-393-723-5580,2023-10-16 03:16:13.053571,Low_Value,SMS,18-25,Premium,80.15,0.89,False,False,False,2025-07-04 13:16:31.635544,23,Sports
132,Monica,Aguilar,monica322@gmail.com,+1-878-212-8491,2025-06-14 13:42:37.136658,New_Customer,Social,26-35,Low,70.34,0.61,True,False,False,2025-07-04 13:15:44.498302,0,Books
133,Diana,Sanders,dianasanders@hotmail.com,+1-448-966-7549,2023-12-03 01:50:01.739967,Low_Value,Direct,46-55,Premium,51.02,0.89,False,True,False,,40,Books
134,Heather,Hart,heatherhart@hotmail.com,+1-934-399-7729,2024-03-07 20:53:02.297381,New_Customer,Direct,18-25,High,129.89,0.54,True,False,False,2025-07-04 13:14:36.061660,19,Books
135,Elizabeth,Bartlett,elizabeth577@yahoo.com,+1-620-968-7215,2024-07-22 10:10:02.122907,High_Value,Push,55+,High,484.49,0.22,False,False,False,,43,Electronics
136,Steven,Price,stevenprice@outlook.com,+1-632-691-7873,2024-02-23 21:29:44.235967,Low_Value,Social,,High,56.89,0.89,True,True,False,2025-07-04 13:16:12.816753,24,Clothing
137,Madison,Cox,madison.cox@outlook.com,+1-843-942-9948,2024-06-05 19:48:05.442688,Low_Value,Social,26-35,High,83.05,0.88,True,True,True,2025-07-04 13:16:04.001132,42,Clothing
138,Robin,Reese,robinreese@gmail.com,+1-310-300-1333,2025-06-13 04:28:20.130858,New_Customer,SMS,46-55,Premium,60.76,0.55,True,False,False,2025-07-04 13:18:00.849414,31,Books
139,Regina,Davis,regina.davis@hotmail.com,+1-369-711-1911,2024-06-23 00:13:08.865058,New_Customer,Email,18-25,High,38.4,0.66,False,True,False,2025-07-04 13:13:20.950716,32,Home
